label,index,valor_uint32
wIteraciones,,5
potencias16,0,1
potencias16,1,16
potencias16,2,256
potencias16,3,4096
potencias16,4,65536
kpor8,0,0
kpor8,1,8
kpor8,2,16
kpor8,3,24
kpor8,4,32
kpor8mas1,0,1
kpor8mas1,1,9
kpor8mas1,2,17
kpor8mas1,3,25
kpor8mas1,4,33
kpor8mas4,0,4
kpor8mas4,1,12
kpor8mas4,2,20
kpor8mas4,3,28
kpor8mas4,4,36
kpor8mas5,0,5
kpor8mas5,1,13
kpor8mas5,2,21
kpor8mas5,3,29
kpor8mas5,4,37
kpor8mas6,0,6
kpor8mas6,1,14
kpor8mas6,2,22
kpor8mas6,3,30
kpor8mas6,4,38
calculoA,0,1065353216
calculoA,1,1031798784
calculoA,2,998244352
calculoA,3,964689920
calculoA,4,931135488
calculoB,0,1082130432
calculoB,1,1055100473
calculoB,2,1047589105
calculoB,3,1042536202
calculoB,4,1039678992
calculoC,0,1056964608
calculoC,1,1042983595
calculoC,2,1036831949
calculoC,3,1032997157
calculoC,4,1029934649
calculoD,0,1045220557
calculoD,1,1033734617
calculoD,2,1027804209
calculoD,3,1024277963
calculoD,4,1021142985
calculoE,0,1042983595
calculoE,1,1032997157
calculoE,2,1027223180
calculoE,3,1023969417
calculoE,4,1020761142
calculoBCDE,0,1078495368
calculoBCDE,1,1040484426
calculoBCDE,2,1026355052
calculoBCDE,3,1017775892
calculoBCDE,4,1011466148
calculoITE,0,1078495368
calculoITE,1,1006929994
calculoITE,2,959246188
calculoITE,3,917112596
calculoITE,4,877248420
calculoPI,0,1078495368
calculoPI,1,1078529296
calculoPI,2,1078529988
calculoPI,3,1078530009
calculoPI,4,1078530010
